,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
1,13.0,38.08,Stay,6,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
2,16.05,36.04,Stay,5,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
3,6.06,32.07,Stay,6,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
4,7.0,32.05,Stay,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
5,9.01,39.09,Stay,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
6,5.02,28.02,Stay,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
7,5.11,30.11,Left,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
8,6.04,33.05,Left,5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
9,10.01,41.06,Stay,7,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
10,0.1,27.1,Left,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
11,9.08,34.09,Stay,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
12,6.03,30.01,Left,4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
13,6.09,32.07,Left,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
14,11.02,39.07,Stay,2,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
15,5.02,26.07,Stay,7,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
16,5.02,27.1,Left,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
17,5.02,36.03,Left,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
18,4.09,31.09,Left,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
19,5.1,27.08,Stay,5,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
20,4.03,27.07,Left,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
21,0.03,21.05,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
22,1.1,24.1,Stay,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
23,3.03,28.08,Stay,4,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
24,11.02,39.06,Stay,4,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
25,4.04,29.02,Left,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
26,8.04,30.07,Stay,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
27,8.03,35.07,Stay,5,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
29,5.03,27.03,Left,7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
30,1.0,23.03,Left,7,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
31,3.11,26.05,Stay,7,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
32,6.1,32.04,Stay,7,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
33,4.03,28.12,Left,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
34,7.04,32.02,Stay,6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
35,9.07,36.04,Left,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
36,6.1,32.04,Left,6,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
37,2.04,26.07,Left,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
38,9.04,38.07,Stay,4,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
39,2.03,30.06,Stay,4,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
40,15.04,43.0,Stay,5,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
41,0.04,25.06,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
42,1.08,26.07,Left,5,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
43,5.04,27.05,Left,7,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
